Detect OK Use time,Enable GPS Module OK Use time,TTFF,SNR1,SNR2,SNR3,SNR4,SNR5,SNR6,SNR7,SNR8,GPS Signal Test PASS Use time,Defective_Pred,Proba_0,Proba_1,Task
6031.637,3.55,112.0,34.0,34.0,34.0,34.0,38.0,37.0,30.0,38.0,121.054,1.0,0.0938996122493857,0.9061003877506143,Defective
8847.955,0.61,70.0,29.0,33.0,34.0,33.0,37.0,27.0,37.0,27.0,121.05,1.0,0.09390203898930627,0.9060979610106937,Defective
9578.204,3.58,28.0,36.0,28.0,36.0,27.0,29.0,39.0,31.0,34.0,46.38,0.0,0.7045896029993803,0.2954103970006196,Retest
8755.451,0.61,120.0,37.0,37.0,36.0,37.0,30.0,34.0,28.0,34.0,120.402,1.0,0.09389960967279498,0.906100390327205,Defective
9029.101999999999,0.61,41.0,31.0,27.0,27.0,37.0,37.0,27.0,37.0,27.0,44.97,1.0,0.4650789555275001,0.5349210444724999,Retest
9397.468,3.55,22.0,36.0,28.0,36.0,27.0,38.0,26.0,38.0,29.0,38.08,0.0,0.7498160376533195,0.2501839623466805,Not Defective
9164.947,3.58,49.0,31.0,27.0,27.0,37.0,35.0,31.0,37.0,34.0,80.70100000000001,1.0,0.1640642795730537,0.8359357204269463,Defective
9302.245,0.62,35.0,36.0,28.0,36.0,27.0,35.0,31.0,37.0,34.0,37.22,0.0,0.7036666954456856,0.29633330455431434,Retest
9498.257,0.61,11.0,36.0,28.0,36.0,27.0,38.0,26.0,38.0,29.0,11.63,0.0,0.7512100082534732,0.24878999174652683,Not Defective
9684.315999999999,3.55,50.0,36.0,28.0,36.0,27.0,31.0,35.0,28.0,32.0,89.12,1.0,0.10016655194250712,0.8998334480574929,Defective
8666.11,0.61,120.0,29.0,33.0,34.0,33.0,37.0,27.0,37.0,27.0,120.75,1.0,0.0938996096533371,0.9061003903466629,Defective
8477.398000000001,0.61,118.0,37.0,37.0,36.0,37.0,29.0,34.0,31.0,35.0,120.101,1.0,0.09389960978995415,0.9061003902100458,Defective
8346.335,3.65,60.0,37.0,37.0,36.0,37.0,29.0,34.0,31.0,35.0,80.572,1.0,0.1503073365840294,0.8496926634159706,Defective
8235.562,0.61,54.0,37.0,37.0,36.0,37.0,37.0,31.0,31.0,37.0,55.982,0.0,0.5697636240471186,0.43023637595288144,Retest
8318.146999999999,3.59,120.0,34.0,27.0,36.0,35.0,37.0,27.0,37.0,27.0,120.47,1.0,0.09389960964937982,0.9061003903506202,Defective
7943.262,3.58,42.0,37.0,37.0,36.0,37.0,37.0,31.0,31.0,37.0,103.28,0.0,0.5940436302031311,0.40595636979686894,Retest
8183.5019999999995,0.61,46.0,34.0,27.0,36.0,35.0,37.0,27.0,37.0,27.0,66.2,1.0,0.33300856164559356,0.6669914383544064,Retest
7763.637,3.58,119.0,37.0,37.0,36.0,37.0,32.0,28.0,40.0,32.0,120.48700000000001,1.0,0.09389960980971013,0.9061003901902899,Defective
7828.5380000000005,3.58,120.0,34.0,27.0,36.0,35.0,37.0,29.0,32.0,30.0,120.82,1.0,0.09389960964998623,0.9061003903500138,Defective
7609.003000000001,0.61,36.0,31.0,32.0,31.0,30.0,32.0,28.0,40.0,32.0,92.416,0.0,0.5110934727257355,0.4889065272742645,Retest
7425.789000000001,0.61,9.0,31.0,32.0,31.0,30.0,32.0,28.0,29.0,32.0,120.493,0.0,0.696477466587474,0.303522533412526,Retest
7242.092,3.23,120.0,31.0,32.0,31.0,30.0,32.0,28.0,29.0,32.0,120.382,1.0,0.09389960964879396,0.906100390351206,Defective
7044.001,3.58,52.0,31.0,32.0,31.0,30.0,38.0,37.0,30.0,38.0,120.105,1.0,0.1296670758500258,0.8703329241499742,Defective
6852.618,3.57,120.0,31.0,32.0,31.0,30.0,38.0,37.0,30.0,38.0,120.476,1.0,0.0938996096890854,0.9061003903109146,Defective
6604.355,0.61,119.0,32.0,30.0,31.0,36.0,38.0,37.0,30.0,38.0,120.17399999999999,1.0,0.09389960977392586,0.9061003902260741,Defective
8005.0419999999995,3.58,120.0,34.0,27.0,36.0,35.0,37.0,29.0,32.0,30.0,120.36,1.0,0.09389960964968525,0.9061003903503148,Defective
6562.3009999999995,0.61,40.0,28.0,29.0,31.0,28.0,32.0,35.0,35.0,28.0,53.96,0.0,0.7159863431840259,0.2840136568159741,Not Defective
6316.4890000000005,3.58,120.0,31.0,33.0,33.0,33.0,38.0,37.0,30.0,38.0,120.50299999999999,1.0,0.09389960982803236,0.9061003901719676,Defective
6669.012,3.58,48.0,28.0,29.0,31.0,28.0,32.0,35.0,35.0,28.0,120.79,1.0,0.12267666757418028,0.8773233324258197,Defective
6212.210999999999,0.61,48.0,31.0,33.0,33.0,33.0,38.0,37.0,30.0,38.0,50.282,0.0,0.7494089019279688,0.2505910980720312,Not Defective
6447.513000000001,0.61,40.0,33.0,28.0,28.0,33.0,32.0,35.0,35.0,28.0,49.64,0.0,0.731463424920825,0.26853657507917505,Not Defective
3884.8740000000003,0.61,50.0,32.0,28.0,30.0,27.0,37.0,37.0,37.0,31.0,53.46,0.0,0.7495621876342249,0.25043781236577506,Not Defective
3740.199,0.61,100.0,34.0,34.0,34.0,34.0,31.0,38.0,39.0,30.0,120.286,1.0,0.09390006146198604,0.906099938538014,Defective
5388.651999999999,0.61,43.0,34.0,34.0,34.0,34.0,38.0,37.0,30.0,38.0,99.95,0.0,0.7220973216535373,0.2779026783464627,Not Defective
6312.235,3.58,45.0,33.0,28.0,28.0,33.0,32.0,35.0,35.0,28.0,78.84100000000001,0.0,0.669356665307717,0.33064333469228296,Retest
5877.319,0.61,43.0,31.0,32.0,26.0,33.0,36.0,30.0,35.0,35.0,48.45,0.0,0.7489549550394994,0.2510450449605006,Not Defective
5755.626,0.61,120.0,34.0,34.0,34.0,34.0,38.0,37.0,30.0,38.0,120.258,1.0,0.09389960993171664,0.9061003900682834,Defective
6134.245,3.58,120.0,33.0,28.0,28.0,33.0,35.0,29.0,35.0,36.0,120.36,1.0,0.09389960966093658,0.9061003903390634,Defective
5981.576999999999,3.58,44.0,33.0,28.0,28.0,33.0,35.0,29.0,35.0,36.0,65.72,0.0,0.7454072033100292,0.25459279668997076,Not Defective
5559.170999999999,0.61,120.0,34.0,34.0,34.0,34.0,38.0,37.0,30.0,38.0,120.49700000000001,1.0,0.09389960998714775,0.9061003900128523,Defective
5524.005,0.61,115.0,31.0,32.0,26.0,33.0,36.0,30.0,35.0,35.0,120.47,1.0,0.09389960980149703,0.906100390198503,Defective
4721.399,3.57,95.0,34.0,34.0,34.0,34.0,38.0,37.0,30.0,38.0,120.15799999999999,1.0,0.09390292756110752,0.9060970724388925,Defective
4962.984,3.57,42.0,35.0,28.0,28.0,29.0,36.0,30.0,35.0,35.0,98.55,0.0,0.6107935861912774,0.38920641380872256,Retest
5117.392,0.61,49.0,31.0,32.0,26.0,33.0,36.0,30.0,35.0,35.0,50.85,0.0,0.7472363848786496,0.25276361512135037,Not Defective
4914.226,0.61,119.0,34.0,34.0,34.0,34.0,38.0,37.0,30.0,38.0,120.179,1.0,0.09389961065271524,0.9061003893472848,Defective
8492.146,3.58,90.0,29.0,33.0,34.0,33.0,37.0,27.0,37.0,27.0,91.98100000000001,1.0,0.09390305933020204,0.906096940669798,Defective
5092.268,3.5,25.0,34.0,34.0,34.0,34.0,38.0,37.0,30.0,38.0,81.38600000000001,0.0,0.754047880535438,0.2459521194645619,Not Defective
5345.444,0.61,120.0,31.0,32.0,26.0,33.0,36.0,30.0,35.0,35.0,120.82,1.0,0.09389960970160283,0.9061003902983972,Defective
5702.0740000000005,0.61,120.0,31.0,32.0,26.0,33.0,36.0,30.0,35.0,35.0,120.6,1.0,0.09389960968670596,0.906100390313294,Defective
4544.916,0.61,120.0,34.0,34.0,34.0,34.0,38.0,37.0,30.0,38.0,120.48,1.0,0.09389961088981602,0.906100389110184,Defective
4443.992,0.63,42.0,34.0,34.0,34.0,34.0,38.0,37.0,30.0,38.0,44.01,0.0,0.7540679659781935,0.24593203402180655,Not Defective
4590.598,3.57,88.0,28.0,28.0,26.0,30.0,39.0,39.0,29.0,39.0,120.36,1.0,0.09390804000182784,0.9060919599981722,Defective
4261.41,0.61,120.0,34.0,34.0,34.0,34.0,33.0,35.0,36.0,28.0,120.65700000000001,1.0,0.09389961012630166,0.9061003898736983,Defective
4410.888,0.61,92.0,28.0,28.0,26.0,30.0,39.0,39.0,29.0,39.0,120.0,1.0,0.09390106465841774,0.9060989353415823,Defective
5223.525,0.61,56.0,31.0,32.0,26.0,33.0,36.0,30.0,35.0,35.0,67.18,0.0,0.6854812727327162,0.3145187272672838,Retest
4778.383,3.58,102.0,35.0,28.0,28.0,29.0,36.0,30.0,35.0,35.0,120.95,1.0,0.09389961320755746,0.9061003867924425,Defective
4111.823,3.58,68.0,34.0,34.0,34.0,34.0,31.0,38.0,39.0,30.0,69.64,1.0,0.4851289210087615,0.5148710789912385,Retest
4130.323,0.61,120.0,28.0,28.0,26.0,30.0,37.0,37.0,37.0,31.0,120.611,1.0,0.0938996099430458,0.9061003900569542,Defective
3935.567,0.61,119.0,34.0,34.0,34.0,34.0,31.0,38.0,39.0,30.0,120.32600000000001,1.0,0.09389961593883267,0.9061003840611673,Defective
3400.341,0.61,28.0,32.0,28.0,30.0,27.0,28.0,39.0,30.0,39.0,30.85,0.0,0.7544762039072768,0.24552379609272323,Not Defective
3289.495,3.57,110.0,34.0,34.0,34.0,34.0,31.0,38.0,39.0,30.0,120.28200000000001,1.0,0.0938996560273162,0.9061003439726838,Defective
3490.3740000000003,0.61,28.0,32.0,28.0,30.0,27.0,28.0,39.0,30.0,39.0,28.97,0.0,0.7544677351347294,0.2455322648652706,Not Defective
3583.5820000000003,3.57,42.0,32.0,28.0,30.0,27.0,37.0,37.0,37.0,31.0,47.29,0.0,0.7507400479883432,0.24925995201165688,Not Defective
3695.135,3.58,120.0,32.0,28.0,30.0,27.0,37.0,37.0,37.0,31.0,120.51,1.0,0.09389960994652313,0.9061003900534769,Defective
3557.2009999999996,0.65,120.0,34.0,34.0,34.0,34.0,31.0,38.0,39.0,30.0,120.72200000000001,1.0,0.09389961468824315,0.9061003853117569,Defective
90.281,3.56,17.0,42.0,42.0,42.0,42.0,40.0,40.0,39.0,40.0,18.54,0.0,0.7564532414959115,0.24354675850408844,Not Defective
807.238,3.56,30.0,29.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,32.09,0.0,0.7558080174300928,0.24419198256990712,Not Defective
2676.973,3.58,119.0,31.0,30.0,38.0,38.0,28.0,39.0,30.0,39.0,121.07,1.0,0.0938996259014333,0.9061003740985667,Defective
2869.585,3.58,36.0,34.0,29.0,39.0,38.0,28.0,39.0,30.0,39.0,38.2,0.0,0.7545146879331217,0.24548531206687832,Not Defective
2673.309,0.61,45.0,34.0,34.0,34.0,34.0,29.0,28.0,31.0,30.0,48.707,0.0,0.7544950773345778,0.24550492266542226,Not Defective
2788.427,3.58,41.0,34.0,34.0,34.0,34.0,31.0,38.0,39.0,30.0,57.111000000000004,0.0,0.7539722653323029,0.24602773466769715,Not Defective
3069.756,0.61,47.0,28.0,38.0,31.0,38.0,28.0,39.0,30.0,39.0,48.45,0.0,0.7535999760530935,0.2464000239469065,Not Defective
3991.1059999999998,3.58,33.0,28.0,28.0,26.0,30.0,37.0,37.0,37.0,31.0,57.11,0.0,0.7502566944301051,0.2497433055698949,Not Defective
3193.2490000000003,3.56,120.0,28.0,38.0,31.0,38.0,28.0,39.0,30.0,39.0,120.3,1.0,0.09389962294324361,0.9061003770567564,Defective
4308.997,3.58,35.0,28.0,28.0,26.0,30.0,39.0,39.0,29.0,39.0,40.74,0.0,0.7510982588259354,0.24890174117406463,Not Defective
3080.6679999999997,3.57,47.0,34.0,34.0,34.0,34.0,31.0,38.0,39.0,30.0,50.474,0.0,0.7520751734979836,0.2479248265020164,Not Defective
1748.109,0.61,120.0,38.0,38.0,37.0,38.0,39.0,38.0,39.0,28.0,120.85,1.0,0.09389982373731298,0.906100176262687,Defective
1927.184,0.61,33.0,31.0,30.0,38.0,38.0,39.0,38.0,39.0,28.0,35.69,0.0,0.7544883812207434,0.24551161877925667,Not Defective
2985.572,3.58,24.0,28.0,38.0,31.0,38.0,28.0,39.0,30.0,39.0,25.49,0.0,0.7545198192783742,0.24548018072162578,Not Defective
2209.901,0.61,116.0,31.0,30.0,38.0,38.0,39.0,38.0,39.0,28.0,120.68,1.0,0.09389990521138436,0.9061000947886156,Defective
2392.199,3.58,66.0,31.0,30.0,38.0,38.0,39.0,38.0,39.0,28.0,120.34,1.0,0.4107769492489185,0.5892230507510815,Retest
2312.0170000000003,0.61,37.0,40.0,40.0,39.0,40.0,29.0,28.0,31.0,30.0,95.88,0.0,0.753317927004498,0.24668207299550202,Not Defective
2583.721,3.58,33.0,31.0,30.0,38.0,38.0,39.0,38.0,39.0,28.0,35.38,0.0,0.7544109532923153,0.24558904670768472,Not Defective
118.212,0.61,0.0,36.0,36.0,36.0,36.0,41.0,41.0,30.0,30.0,1.35,0.0,0.756453241460811,0.24354675853918897,Not Defective
655.57,3.55,29.0,29.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,88.65100000000001,0.0,0.7559334014447975,0.24406659855520252,Not Defective
1122.913,3.58,26.0,34.0,38.0,38.0,34.0,38.0,38.0,32.0,27.0,28.75,0.0,0.7548674779534053,0.2451325220465948,Not Defective
1206.573,3.58,31.0,34.0,38.0,38.0,34.0,29.0,31.0,39.0,34.0,34.23,0.0,0.7545217593703151,0.2454782406296849,Not Defective
1301.8239999999998,0.61,30.0,34.0,38.0,38.0,34.0,27.0,38.0,39.0,39.0,33.9,0.0,0.7545216824677066,0.24547831753229343,Not Defective
1386.111,3.5810000000000004,31.0,38.0,38.0,37.0,38.0,27.0,38.0,39.0,39.0,33.12,0.0,0.7545209927152683,0.24547900728473177,Not Defective
1651.733,0.61,39.0,38.0,38.0,37.0,38.0,39.0,38.0,39.0,28.0,42.22,0.0,0.7545192429947911,0.24548075700520894,Not Defective
