,Folder,DateTime,SN,Detect OK! Use time,at@gpsengine,Enable GPS Module OK! Use time,TTFF,SNR1,SNR2,SNR3,SNR4,SNR5,SNR6,SNR7,SNR8,GPS Signal Test PASS! Use time,Defective
0,LI5-1834230M,2018-03-08 19:40:56,GEDE-XTJ-53W,6031.637,1,3.55,112.0,34.0,34.0,34.0,34.0,38.0,37.0,30.0,38.0,121.054,0.0
1,LI5-1834230M,2018-03-08 20:25:17,GEPT-UCW-TUC,8847.955,1,0.61,70.0,29.0,33.0,34.0,33.0,37.0,27.0,37.0,27.0,121.05,0.0
2,LI5-1834230M,2018-03-08 20:36:15,GES6-4KZ-C93,9578.204,1,3.58,28.0,36.0,28.0,36.0,27.0,29.0,39.0,31.0,34.0,46.38,0.0
3,LI5-1834230M,2018-03-08 20:26:19,GES6-SZW-AFB,8755.451,1,0.61,120.0,37.0,37.0,36.0,37.0,30.0,34.0,28.0,34.0,120.402,0.0
4,LI5-1834230M,2018-03-08 20:27:00,GETA-PDD-W8K,9029.101999999999,1,0.61,41.0,31.0,27.0,27.0,37.0,37.0,27.0,37.0,27.0,44.97,0.0
5,LI5-1834230M,2018-03-08 20:33:08,GEVZ-MD7-YC7,9397.468,1,3.55,22.0,36.0,28.0,36.0,27.0,38.0,26.0,38.0,29.0,38.08,0.0
6,LI5-1834230M,2018-03-08 20:29:58,GEYZ-23N-FW5,9164.947,1,3.58,49.0,31.0,27.0,27.0,37.0,35.0,31.0,37.0,34.0,80.70100000000001,0.0
7,LI5-1834230M,2018-03-08 20:31:29,GEZW-CUX-ETB,9302.245,1,0.62,35.0,36.0,28.0,36.0,27.0,35.0,31.0,37.0,34.0,37.22,0.0
8,LI5-1834230M,2018-03-08 20:34:18,GF8B-U68-5U3,9498.257,1,0.61,11.0,36.0,28.0,36.0,27.0,38.0,26.0,38.0,29.0,11.63,0.0
9,LI5-1834230M,2018-03-08 20:38:44,GF8Z-Y9B-JF5,9684.315999999999,1,3.55,50.0,36.0,28.0,36.0,27.0,31.0,35.0,28.0,32.0,89.12,0.0
10,LI5-1834230M,2018-03-08 20:22:13,GF98-5ZP-RT2,8666.11,1,0.61,120.0,29.0,33.0,34.0,33.0,37.0,27.0,37.0,27.0,120.75,0.0
11,LI5-1834230M,2018-03-08 20:21:43,GFEG-7XP-WJM,8477.398000000001,1,0.61,118.0,37.0,37.0,36.0,37.0,29.0,34.0,31.0,35.0,120.101,0.0
12,LI5-1834230M,2018-03-08 20:18:33,GFKW-9Z4-TJ2,8346.335,1,3.65,60.0,37.0,37.0,36.0,37.0,29.0,34.0,31.0,35.0,80.572,0.0
13,LI5-1834230M,2018-03-08 20:16:29,GFRM-MK3-EK8,8235.562,1,0.61,54.0,37.0,37.0,36.0,37.0,37.0,31.0,31.0,37.0,55.982,0.0
14,LI5-1834230M,2018-03-08 20:16:27,GFX4-P9F-869,8318.146999999999,1,3.59,120.0,34.0,27.0,36.0,35.0,37.0,27.0,37.0,27.0,120.47,0.0
15,LI5-1834230M,2018-03-08 20:12:27,GFXU-A2B-BH3,7943.262,1,3.58,42.0,37.0,37.0,36.0,37.0,37.0,31.0,31.0,37.0,103.28,0.0
16,LI5-1834230M,2018-03-08 20:13:16,GG36-TNK-3C6,8183.5019999999995,1,0.61,46.0,34.0,27.0,36.0,35.0,37.0,27.0,37.0,27.0,66.2,0.0
17,LI5-1834230M,2018-03-08 20:09:46,GGBF-E3C-AZV,7763.637,1,3.58,119.0,37.0,37.0,36.0,37.0,32.0,28.0,40.0,32.0,120.48700000000001,0.0
18,LI5-1834230M,2018-03-08 20:08:20,GGCD-J7H-5AA,7828.5380000000005,1,3.58,120.0,34.0,27.0,36.0,35.0,37.0,29.0,32.0,30.0,120.82,0.0
19,LI5-1834230M,2018-03-08 20:06:35,GGNB-F7B-W5E,7609.003000000001,1,0.61,36.0,31.0,32.0,31.0,30.0,32.0,28.0,40.0,32.0,92.416,0.0
20,LI5-1834230M,2018-03-08 20:04:14,GHBM-7TN-5Z5,7425.789000000001,1,0.61,9.0,31.0,32.0,31.0,30.0,32.0,28.0,29.0,32.0,120.493,0.0
21,LI5-1834230M,2018-03-08 20:01:04,GHN4-J76-7WX,7242.092,1,3.23,120.0,31.0,32.0,31.0,30.0,32.0,28.0,29.0,32.0,120.382,0.0
22,LI5-1834230M,2018-03-08 19:58:04,GHZE-8ER-78J,7044.001,1,3.58,52.0,31.0,32.0,31.0,30.0,38.0,37.0,30.0,38.0,120.105,0.0
23,LI5-1834230M,2018-03-08 19:54:44,GJA4-UGY-4C3,6852.618,1,3.57,120.0,31.0,32.0,31.0,30.0,38.0,37.0,30.0,38.0,120.476,0.0
24,LI5-1834230M,2018-03-08 19:50:27,GJHZ-K3K-M29,6604.355,1,0.61,119.0,32.0,30.0,31.0,36.0,38.0,37.0,30.0,38.0,120.17399999999999,0.0
25,LI5-1834230M,2018-03-08 20:11:18,GK4Z-EKS-XXP,8005.0419999999995,1,3.58,120.0,34.0,27.0,36.0,35.0,37.0,29.0,32.0,30.0,120.36,0.0
26,LI5-1834230M,2018-03-08 19:46:04,GK8C-2X9-H62,6562.3009999999995,1,0.61,40.0,28.0,29.0,31.0,28.0,32.0,35.0,35.0,28.0,53.96,0.0
27,LI5-1834230M,2018-03-08 19:45:46,GKF8-M9M-RPB,6316.4890000000005,1,3.58,120.0,31.0,33.0,33.0,33.0,38.0,37.0,30.0,38.0,120.50299999999999,0.0
28,LI5-1834230M,2018-03-08 19:48:59,GKVV-PKV-URP,6669.012,1,3.58,48.0,28.0,29.0,31.0,28.0,32.0,35.0,35.0,28.0,120.79,0.0
29,LI5-1834230M,2018-03-08 19:42:40,GKWS-PXH-J74,6212.210999999999,1,0.61,48.0,31.0,33.0,33.0,33.0,38.0,37.0,30.0,38.0,50.282,0.0
30,LI5-1834230M,2018-03-08 19:44:05,GKYV-2ZU-CUX,6447.513000000001,1,0.61,40.0,33.0,28.0,28.0,33.0,32.0,35.0,35.0,28.0,49.64,0.0
31,LI5-1834230M,2018-03-08 19:01:26,GM33-PNZ-V6Y,3884.8740000000003,1,0.61,50.0,32.0,28.0,30.0,27.0,37.0,37.0,37.0,31.0,53.46,0.0
32,LI5-1834230M,2018-03-08 19:02:57,GM46-JNT-83E,3740.199,1,0.61,100.0,34.0,34.0,34.0,34.0,31.0,38.0,39.0,30.0,120.286,0.0
33,LI5-1834230M,2018-03-08 19:29:36,GM5N-MBP-8PS,5388.651999999999,1,0.61,43.0,34.0,34.0,34.0,34.0,38.0,37.0,30.0,38.0,99.95,0.0
34,LI5-1834230M,2018-03-08 19:42:22,GM77-JFZ-SD8,6312.235,1,3.58,45.0,33.0,28.0,28.0,33.0,32.0,35.0,35.0,28.0,78.84100000000001,0.0
35,LI5-1834230M,2018-03-08 19:34:32,GMAU-7YY-35S,5877.319,1,0.61,43.0,31.0,32.0,26.0,33.0,36.0,30.0,35.0,35.0,48.45,0.0
36,LI5-1834230M,2018-03-08 19:36:16,GMFY-ZAU-E88,5755.626,1,0.61,120.0,34.0,34.0,34.0,34.0,38.0,37.0,30.0,38.0,120.258,0.0
37,LI5-1834230M,2018-03-08 19:40:07,GMUM-W5B-CSC,6134.245,1,3.58,120.0,33.0,28.0,28.0,33.0,35.0,29.0,35.0,36.0,120.36,0.0
